,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,destination,tdpcl,tdadtyp,tripsh1,tripsh2,tlvdest,tardest,tour_id,subtrs,parent_tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
3052,501,24321,104123.0,Home,1388,191041942,19104194201,3,work,20623.0,81128.0,other,1,6,501,1388,3061,0,0,WALK_LR,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3053.0,1,0,5,0out_5in
3070,479,23473,948797.0,Home,936,191042312,19104231201,3,social,1567.0,691386.0,other,4,8,580,936,3078,0,0,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,36,social1,1,3071.0,1,3,7,3out_7in
3073,951,13116,662469.0,Home,1238,191042570,19104257001,3,eatout,14440.0,927217.0,other,6,1,1121,1238,3083,0,0,SHARED2FREE,,non_mandatory,15.0,15.0,non_mandatory,1,6,eatout1,1,3074.0,1,5,0,5out_0in
3076,540,3894,52957.0,Home,1156,191042751,19104275101,3,work,17735.0,1214338.0,other,2,5,589,1156,3085,0,0,WALK_LR,,mandatory,9.0,9.0,mandatory,1,39,work1,1,3077.0,1,1,4,1out_4in
3081,530,19502,1079118.0,Home,737,191042965,19104296502,3,work,15992.0,86877.0,other,7,4,627,737,3090,0,0,SHARED2FREE,,mandatory,8.0,8.0,mandatory,2,40,work2,2,3082.0,2,6,3,6out_3in
3093,408,42400,314285.0,Home,910,191043365,19104336502,3,work,45650.0,346537.0,other,1,5,408,910,3102,0,0,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,2,3094.0,2,0,4,0out_4in
3099,569,29337,1012891.0,Home,973,191043613,19104361301,3,social,15389.0,711315.0,other,6,1,801,973,3108,0,0,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,1,3100.0,1,5,0,5out_0in
3108,460,15700,990487.0,Home,1059,191044067,19104406701,3,work,34091.0,864248.0,Work,1,5,858,482,3118,1,0,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,3109.0,1,0,4,0out_4in
3114,441,21437,1075351.0,Home,1116,191044322,19104432201,3,work,23087.0,1042791.0,Work,7,2,520,1116,3124,0,0,WALK_LOC,,mandatory,7.0,7.0,mandatory,1,39,work1,1,3115.0,1,6,1,6out_1in
3138,484,13139,750085.0,Home,1404,191044974,19104497401,3,work,12656.0,709135.0,other,2,9,509,1404,3148,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3139.0,1,1,8,1out_8in
3149,469,20248,854148.0,Home,1056,191045523,19104552302,3,work,7925.0,953164.0,Work,2,5,933,513,3160,1,0,SHARED2FREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,3150.0,2,1,4,1out_4in
3156,403,14633,778045.0,Home,1020,191045639,19104563901,3,work,19896.0,939363.0,other,5,3,545,1020,3167,0,0,DRIVEALONEFREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,3157.0,1,4,2,4out_2in
3198,410,57293,760298.0,Home,993,191047526,19104752601,3,work,56039.0,885617.0,other,1,5,410,993,3209,0,0,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,1,3199.0,1,0,4,0out_4in
3251,331,13416,681968.0,Home,842,191048423,19104842301,3,work,14140.0,1068823.0,other,5,2,645,842,3262,0,0,DRIVEALONEFREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,3252.0,1,4,1,4out_1in
3292,648,30217,1119603.0,Home,1143,191049371,19104937101,3,work,27533.0,745047.0,other,1,16,648,1143,3303,0,0,DRIVEALONEFREE,,mandatory,10.0,10.0,mandatory,1,39,work1,1,3293.0,1,0,15,0out_15in
3294,531,30000,898205.0,Home,1147,191049378,19104937801,3,work,11518.0,968696.0,other,5,2,711,1147,3306,0,0,WALK_LOC,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3295.0,1,4,1,4out_1in
3320,1059,7622,796903.0,Home,1412,191050268,19105026801,3,social,26952.0,1158414.0,other,1,5,1059,1412,3331,0,0,WALK_LR,,non_mandatory,17.0,17.0,non_mandatory,1,36,social1,1,3321.0,1,0,4,0out_4in
3342,605,20042,955547.0,Home,902,191050923,19105092302,3,shopping,20042.0,30102.0,other,5,1,668,902,3353,0,0,WALK,,non_mandatory,10.0,10.0,non_mandatory,1,33,shopping1,2,3343.0,2,4,0,4out_0in
3393,772,49995,386815.0,Home,103,191052596,19105259602,3,work,52739.0,204569.0,Work,3,9,818,103,3404,0,0,SHARED2FREE,,mandatory,12.0,12.0,mandatory,1,39,work1,2,3394.0,2,2,8,2out_8in
3416,446,49864,276888.0,Home,1024,192001145,19200114502,3,work,49046.0,258524.0,other,5,3,654,1024,3428,0,0,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,3417.0,2,4,2,4out_2in
3420,281,49446,373409.0,Home,1156,192001227,19200122701,3,work,46294.0,290933.0,other,1,6,281,1156,3432,0,0,SHARED2FREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,3421.0,1,0,5,0out_5in
3446,867,4683,1048439.0,Home,1247,192002783,19200278301,3,eatout,23683.0,605615.0,other,5,1,1074,1247,3459,0,0,SHARED3FREE,,non_mandatory,14.0,14.0,non_mandatory,1,6,eatout1,1,3447.0,1,4,0,4out_0in
3450,1074,20582,1048439.0,Home,1401,192002783,19200278302,3,eatout,23683.0,605615.0,other,1,6,1074,1401,3463,0,0,SHARED3FREE,,non_mandatory,17.0,17.0,non_mandatory,1,6,eatout1,2,3451.0,2,0,5,0out_5in
3476,517,52545,564647.0,Home,1030,192004301,19200430101,3,work,9033.0,796629.0,other,4,5,637,1030,3488,0,0,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3477.0,1,3,4,3out_4in
3477,531,52474,254737.0,Home,1294,192004303,19200430301,3,work,53849.0,274740.0,other,5,1,1036,1294,3489,0,0,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,1,3478.0,1,4,0,4out_0in
3488,271,47112,231847.0,Home,1068,192006099,19200609901,3,work,2620.0,734026.0,Work,1,9,271,1068,3500,0,0,WALK_COM,,mandatory,5.0,5.0,mandatory,1,39,work1,1,3489.0,1,0,8,0out_8in
3497,809,50117,360446.0,Home,1424,192006199,19200619902,3,eatout,12572.0,955155.0,other,3,23,893,1424,3509,0,0,SHARED3FREE,,non_mandatory,13.0,13.0,non_mandatory,1,6,eatout1,2,3498.0,2,2,22,2out_22in
3500,545,35272,1062039.0,Home,1110,192006823,19200682302,3,social,14826.0,738199.0,other,1,5,545,1110,3512,0,0,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,36,social1,2,3501.0,2,0,4,0out_4in
3514,489,38872,175642.0,Home,828,192007369,19200736902,3,work,37125.0,226790.0,other,1,5,489,828,3526,0,0,DRIVEALONEFREE,,mandatory,8.0,8.0,mandatory,1,39,work1,2,3515.0,2,0,4,0out_4in
3522,732,40490,503443.0,Home,1223,192009014,19200901401,3,work,52474.0,215456.0,other,10,1,972,1223,3535,0,0,SHARED2FREE,,mandatory,12.0,12.0,mandatory,1,39,work1,1,3523.0,1,9,0,9out_0in
3523,733,40490,503443.0,Home,1267,192009014,19200901403,3,work,48859.0,551305.0,other,10,2,1080,1267,3536,0,0,DRIVEALONEFREE,,mandatory,12.0,12.0,mandatory,1,39,work1,3,3524.0,3,9,1,9out_1in
3541,687,65540,749106.0,Home,1020,192010950,19201095002,3,work,56551.0,1104573.0,Work,3,5,700,1020,3555,0,0,DRIVEALONEFREE,,mandatory,11.0,11.0,mandatory,1,39,work1,2,3542.0,2,2,4,2out_4in
3561,345,19009,589605.0,Home,1085,192013909,19201390902,3,work,31907.0,727466.0,Work,1,6,345,1085,3574,0,0,DRIVEALONEFREE,,mandatory,5.0,5.0,mandatory,1,39,work1,2,3562.0,2,0,5,0out_5in
3570,541,62110,145885.0,Home,1373,192015188,19201518801,3,work,46479.0,467812.0,other,5,1,936,1373,3584,0,0,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,1,3571.0,1,4,0,4out_0in
3585,414,42729,189723.0,Home,1310,192015332,19201533201,3,escort,32612.0,628135.0,other,5,3,465,1310,3598,0,0,SHARED3FREE,,non_mandatory,6.0,6.0,non_mandatory,1,9,escort1,1,3586.0,1,4,2,4out_2in
623,733,37567,240297.0,Home,1027,17125333,1712533301,3,othmaint,36494.0,,other,6,1,908,1027,626,0,0,SHARED3FREE,,non_mandatory,12.0,12.0,non_mandatory,1,28,othmaint1,1,,0,5,0,5out_0in
626,733,37567,240297.0,Home,1027,17125333,1712533304,3,othmaint,36494.0,,other,6,1,908,1027,629,0,0,SHARED3FREE,,non_mandatory,12.0,12.0,non_mandatory,1,28,othmaint1,4,,0,5,0,5out_0in
1134,479,30985,1046113.0,Home,1024,17143154,1714315401,3,-1,23523.0,,other,9,2,720,1024,1138,0,0,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,-11,-11,1,,0,8,1,8out_1in
1874,585,3248,,Home,1389,191011182,19101118204,3,othmaint,13496.0,1210832.0,other,3,5,809,1389,1880,0,0,WALK_FRY,,non_mandatory,9.0,9.0,non_mandatory,1,28,othmaint1,4,,0,2,4,2out_4in
2088,440,36122,,Work,900,191016701,19101670101,3,work,36122.0,,other,1,6,440,446,2094,0,2093,SHARED2FREE,,mandatory,7.0,7.0,mandatory,2,40,work2,1,,0,0,5,0out_5in
